stn,date,sd_max,sd_max_time,sd_min,sd_min_time,sd_day_max,rn_day,swe,ta_avg,hm_avg,tw_avg,ws_avg,ta_sd_time,hm_sd_time,tw_sd_time,ws_sd_time
90.0,2020-01-18,0.7,2020-01-18 10:00:00,0.0,2020-01-18 07:00:00,0.7,15.3,2.3,2.4375,78.8125,0.6806888826260489,1.4249999999999998,1.3250000000000002,95.725,0.8482560900093428,1.325
90.0,2020-02-08,0.5,2020-02-08 19:00:00,0.0,2020-02-08 18:00:00,0.5,2.6,2.0,1.1,54.3125,-2.2664634090885123,2.4,1.8,67.75,-0.7961409250511599,1.5
90.0,2020-03-15,0.4,2020-03-16 00:00:00,0.0,2020-03-15 23:00:00,0.4,3.4000000000000004,0.0,4.7875,47.3125,0.3725685106861923,3.9375,1.4,82.6,-0.1203492892923967,4.45
90.0,2020-03-16,0.5,2020-03-16 03:00:00,0.4,2020-03-16 02:00:00,0.0999999999999999,1.2000000000000002,0.1,5.0875,52.675,1.0081253385069082,2.75,0.3,88.0,-0.7832167520920925,3.5
90.0,2021-03-01,14.4,2021-03-02 00:00:00,0.0,2021-03-01 10:00:00,14.4,73.4,55.6,2.0375,90.75,1.1098399864333428,3.325,0.1199999999999999,95.78666666666668,-0.3495230439533383,3.993333333333333
90.0,2021-03-02,20.4,2021-03-02 14:00:00,13.7,2021-03-02 09:00:00,6.699999999999999,7.6,3.4000000000000004,-1.3,87.6625,-2.374170948124243,1.8,-1.0833333333333333,89.93333333333332,-1.9943390771901208,1.0666666666666669
90.0,2021-03-06,2.5,2021-03-07 00:00:00,0.0,2021-03-06 16:00:00,2.5,5.4,4.1,0.5125,83.2,-0.937886960352478,2.3,-0.7555555555555556,88.7,-1.761074446718576,0.6888888888888888
90.0,2021-03-07,2.8,2021-03-07 02:00:00,2.5,2021-03-07 00:00:00,0.2999999999999998,0.5,0.5,1.6875,85.23750000000001,0.342696938557615,0.8,-0.7333333333333334,95.36666666666667,-1.234053790921962,0.2666666666666666
90.0,2021-12-24,28.1,2021-12-25 00:00:00,0.0,2021-12-24 18:00:00,28.1,42.1,38.6,1.85,77.01249999999999,-0.1108511621866358,2.2875,-0.5428571428571428,95.88571428571429,-1.0038232504315778,1.0857142857142856
90.0,2022-01-19,12.1,2022-01-19 22:00:00,9.3,2022-01-19 15:00:00,2.799999999999999,3.1,1.3,-2.325,53.55,-5.2319122732941095,1.5125,-1.925,67.30000000000001,-4.280108251946479,2.4375
90.0,2022-01-22,10.5,2022-01-22 09:00:00,10.4,2022-01-22 08:00:00,0.0999999999999996,0.0,0.0,-1.1249999999999998,73.175,-3.177926662227401,1.65,-3.25,67.7,-5.507891519540096,1.0
90.0,2022-01-27,3.3,2022-01-27 06:00:00,3.2,2022-01-27 05:00:00,0.0999999999999996,0.0,0.0,0.6625,55.9625,-2.487854195611681,1.925,-1.35,45.0,-4.859912565196519,1.25
90.0,2022-01-28,1.9,2022-01-28 07:00:00,1.6,2022-01-28 01:00:00,0.2999999999999998,0.0,0.0,-0.5874999999999999,44.6625,-4.224197958307306,1.2125,-2.157142857142857,46.67142857142858,-5.47052165840381,0.942857142857143
90.0,2022-03-19,1.9,2022-03-19 09:00:00,0.0,2022-03-19 06:00:00,1.9,29.2,11.1,1.05,89.88749999999999,0.1004265185888808,2.2125,-0.175,96.8,-0.5624345976422207,1.15
90.0,2022-12-13,1.7,2022-12-13 20:00:00,0.0,2022-12-13 19:00:00,1.7,0.7,0.7,1.5500000000000005,40.9625,-2.5392172165704623,3.175,-0.2,63.900000000000006,-2.872504113546841,2.5
90.0,2023-01-15,16.3,2023-01-15 20:00:00,0.0,2023-01-15 08:00:00,16.3,47.7,35.6,-0.2499999999999999,93.125,-0.9243631389755008,0.9,-0.3230769230769231,95.52307692307691,-0.8125968102416231,0.9846153846153846
90.0,2023-01-19,11.8,2023-01-19 01:00:00,11.7,2023-01-19 00:00:00,0.1000000000000014,0.0,0.0,0.3249999999999999,48.9125,-3.208193554824902,1.8875,-5.8,59.7,-8.165670286470498,1.35
90.0,2023-01-20,11.8,2023-01-20 06:00:00,11.6,2023-01-20 05:00:00,0.200000000000001,0.0,0.0,-1.0625000000000002,29.6,-4.910154290609692,2.875,2.35,42.95,-1.8738601900274168,4.3
90.0,2023-01-21,9.0,2023-01-21 09:00:00,8.8,2023-01-21 07:00:00,0.1999999999999993,0.0,0.0,-4.1125,32.0875,-7.396956754414234,1.1,-6.866666666666667,30.266666666666666,-9.47294901677878,0.8999999999999999
90.0,2023-01-27,7.1,2023-01-27 09:00:00,6.9,2023-01-27 07:00:00,0.1999999999999993,0.0,0.0,-5.725,38.5625,-8.586314847870447,2.1375,-6.566666666666667,46.0,-9.216153544522117,1.3333333333333333
90.0,2023-01-29,6.8,2023-01-29 06:00:00,6.6,2023-01-29 04:00:00,0.2000000000000001,0.0,0.0,-1.3,45.1,-4.680890460789922,1.8000000000000005,-5.3,34.63333333333333,-8.298139815657487,1.5666666666666669
90.0,2023-02-02,3.0,2023-02-02 02:00:00,2.9,2023-02-02 01:00:00,0.1,0.0,0.0,-2.25,55.9875,-5.173737544526643,1.425,-2.6,51.05,-5.687214550476714,1.4
90.0,2023-02-03,2.7,2023-02-03 02:00:00,2.6,2023-02-03 01:00:00,0.1,0.0,0.0,-1.2,50.0,-4.484898199448039,1.7625,-3.6,64.4,-5.972348559427087,1.6
90.0,2023-02-04,2.1,2023-02-04 01:00:00,2.0,2023-02-04 00:00:00,0.1,0.0,0.0,0.9375,27.387500000000003,-3.701262981598744,1.9125,-2.25,36.0,-5.874040860977734,1.05
90.0,2023-02-13,5.1,2023-02-13 21:00:00,0.0,2023-02-13 11:00:00,5.1,26.0,15.4,1.3625,87.66250000000001,0.2121638137035066,1.85,0.2272727272727272,93.8181818181818,-0.4002567699015817,1.6545454545454543
90.0,2023-02-15,9.4,2023-02-15 06:00:00,4.0,2023-02-15 03:00:00,5.4,4.1,3.8,-1.2000000000000002,80.1875,-2.783749991622799,1.525,-2.35,82.875,-3.694731072960662,2.25
90.0,2023-02-18,0.6,2023-02-18 05:00:00,0.5,2023-02-18 04:00:00,0.0999999999999999,0.0,0.0,5.8125,57.96249999999999,2.1518884509111214,1.475,4.25,44.900000000000006,-0.1732936134245046,0.4
90.0,2023-02-25,14.8,2023-02-25 08:00:00,0.0,2023-02-25 04:00:00,14.8,8.3,7.700000000000001,-0.75,73.55,-2.7778482753756384,1.8375,-1.3,92.64,-2.0074462361548173,1.5799999999999998
90.0,2024-01-20,4.1,2024-01-21 00:00:00,0.0,2024-01-20 17:00:00,4.1,9.3,6.900000000000001,0.9625,87.15,-0.2000630358288991,4.112500000000001,-0.0625,93.05,-0.7489857092366743,3.7875
90.0,2024-01-21,4.4,2024-01-21 07:00:00,3.7,2024-01-21 04:00:00,0.7000000000000002,1.9000000000000004,1.0,-0.125,90.6875,-0.9948455892387702,1.55,-0.65,93.125,-1.3260211055625943,1.825
90.0,2024-01-23,2.7,2024-01-23 09:00:00,2.6,2024-01-23 08:00:00,0.1,0.0,0.0,-10.1,43.462500000000006,-12.165187319697722,2.175,-10.45,45.7,-12.480380967485411,1.35
90.0,2024-01-26,2.3,2024-01-26 03:00:00,2.2,2024-01-26 02:00:00,0.0999999999999996,0.0,0.0,-0.2499999999999999,42.6875,-4.0063660301167285,1.3125,-4.25,38.400000000000006,-7.424668067811242,1.0
90.0,2024-02-01,3.5,2024-02-01 21:00:00,0.0,2024-02-01 15:00:00,3.5,2.6,1.4,-0.0999999999999999,83.07499999999999,-1.551773337040126,2.9625,-1.4428571428571428,85.97142857142858,-2.636356485624469,2.257142857142857
90.0,2024-02-05,5.3,2024-02-06 00:00:00,0.0,2024-02-05 08:00:00,5.3,14.7,5.800000000000001,0.0375,89.4375,-0.9288351545402834,2.9875,-0.7,89.75882352941177,-1.6296199645142535,2.9588235294117644
90.0,2024-02-07,1.4,2024-02-07 07:00:00,1.3,2024-02-07 06:00:00,0.0999999999999998,0.0,0.0,-0.6875,82.775,-2.1537378756938463,1.4625,-2.5,87.55,-3.562202844378134,1.7
90.0,2024-02-15,14.3,2024-02-15 18:00:00,0.0,2024-02-15 10:00:00,14.3,39.2,25.6,1.5875,90.05000000000001,0.6275639678222285,1.2125,-0.1111111111111111,95.1888888888889,-0.6286474095861894,2.144444444444444
90.0,2024-02-17,6.0,2024-02-17 10:00:00,5.8,2024-02-17 06:00:00,0.2000000000000001,0.0,0.0,3.8875,59.1625,0.4394052750293877,1.1625,2.08,55.78,-1.4456886934569897,1.14
90.0,2024-02-18,2.3,2024-02-18 09:00:00,2.2,2024-02-18 08:00:00,0.0999999999999996,0.0,0.0,6.15,60.337500000000006,2.642740594776668,1.275,7.199999999999999,42.2,2.092930827426561,0.7
90.0,2024-02-21,8.7,2024-02-22 00:00:00,0.0,2024-02-21 07:00:00,8.7,26.7,20.000000000000004,-0.2,93.7125,-0.8307160123984808,4.05,-0.2944444444444445,93.59444444444443,-0.9329515625809824,3.861111111111111
90.0,2024-02-22,16.1,2024-02-23 00:00:00,8.7,2024-02-22 00:00:00,7.400000000000002,8.6,8.599999999999998,-1.6749999999999998,84.32499999999999,-2.966807565291543,2.55,-1.724,85.156,-2.9600129266386066,2.648
90.0,2024-02-23,17.8,2024-02-23 03:00:00,16.1,2024-02-23 00:00:00,1.6999999999999993,2.5,2.3999999999999995,-1.6124999999999998,84.55,-2.905255736434019,1.3624999999999998,-2.9,93.5,-3.531329694609357,1.275
90.0,2024-02-24,14.4,2024-02-24 01:00:00,14.3,2024-02-24 00:00:00,0.0999999999999996,1.2,0.0,-0.3624999999999999,78.1,-2.1492662022868987,0.9625,-3.4000000000000004,89.55,-4.3051252963904245,1.6
